                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0136,                 1.4053,                0.92658,                 1.1167,                 0.7926,                0.73529,                0.81749,                0.59824,                0.78192,                0.70588,                0.80165,                 0.5884,                0.97053,                 1.7291,                0.93618,                 1.2074,              0.0005446,              0.0005446,              0.0005446
                     25,                0.88812,                 1.2042,                0.83514,                 1.0501,                0.81012,                0.79412,                0.86112,                0.63876,                0.81012,                0.79412,                0.82954,                0.63469,                0.95435,                  1.633,                0.87944,                  1.186,              0.0005248,              0.0005248,              0.0005248
                     26,                0.89728,                 1.3307,                0.81495,                 1.0886,                0.91744,                0.70588,                0.87546,                0.64394,                0.91744,                0.70588,                0.83047,                0.63228,                0.96674,                 1.5951,                0.87282,                 1.1945,               0.000505,               0.000505,               0.000505
                     27,                0.89362,                 1.3377,                0.75587,                  1.052,                0.87405,                0.81662,                0.90501,                0.70281,                0.87405,                0.81662,                0.88966,                0.67259,                0.87712,                 1.5437,                0.75657,                 1.1583,              0.0004852,              0.0004852,              0.0004852
                     28,                0.83281,                 1.2607,                0.74438,                 1.0449,                0.83173,                0.91176,                0.91857,                0.70781,                0.80458,                0.88235,                0.88428,                0.69364,                0.84899,                 1.5908,                0.78653,                  1.149,              0.0004654,              0.0004654,              0.0004654
                     29,                0.79489,                 1.1139,                0.71013,                  1.026,                0.83385,                0.73813,                0.86535,                0.70213,                0.77801,                0.85294,                0.86476,                0.68761,                0.85625,                 1.7802,                0.81657,                 1.1738,              0.0004456,              0.0004456,              0.0004456
                     30,                0.87676,                  1.225,                0.69161,                 1.0358,                0.85926,                0.79412,                0.87054,                0.66741,                0.85926,                0.79412,                0.87054,                 0.6645,                  0.926,                  1.775,                 0.9059,                 1.1867,              0.0004258,              0.0004258,              0.0004258
                     31,                0.77383,                 1.1544,                0.71602,                 1.0358,                0.84181,                0.76471,                0.86392,                0.64082,                0.84181,                0.76471,                0.86242,                0.63972,                 1.0005,                 1.6586,                0.94186,                 1.2188,               0.000406,               0.000406,               0.000406
                     32,                0.77224,                 1.0968,                0.66105,                0.97808,                0.83508,                0.79412,                0.87258,                0.64911,                0.83508,                0.79412,                0.87012,                0.64806,                  1.014,                 1.5739,                0.93546,                 1.2293,              0.0003862,              0.0003862,              0.0003862
                     33,                0.82845,                 1.1495,                0.73224,                0.99993,                0.82534,                0.85294,                0.89208,                0.67583,                0.82534,                0.85294,                0.89208,                0.66578,                 1.0236,                 1.5445,                0.83849,                 1.2238,              0.0003664,              0.0003664,              0.0003664
                     34,                0.77256,                 1.1145,                0.68647,                 1.0157,                0.82482,                0.88235,                0.89783,                0.68241,                0.85297,                0.91176,                0.92981,                0.67688,                0.98954,                 1.5078,                 0.7982,                 1.2073,              0.0003466,              0.0003466,              0.0003466
                     35,                0.81394,                 1.2315,                0.64094,                 1.0197,                0.96572,                0.82871,                0.91636,                0.70975,                 0.9664,                0.84607,                0.93514,                0.70222,                0.91679,                 1.3931,                0.80841,                 1.1422,              0.0003268,              0.0003268,              0.0003268
                     36,                 0.7588,                 1.0929,                0.61408,                 1.0038,                 0.9562,                0.79412,                0.91577,                0.73297,                 0.9562,                0.79412,                0.92758,                0.69365,                0.86916,                 1.4026,                 0.7777,                 1.1213,               0.000307,               0.000307,               0.000307
                     37,                0.70383,                0.96357,                0.64424,                 1.0103,                 0.9726,                0.79412,                 0.9238,                0.73376,                 0.9726,                0.79412,                0.90781,                0.69682,                0.86839,                 1.4957,                0.78735,                 1.1184,              0.0002872,              0.0002872,              0.0002872
                     38,                0.76264,                 1.1241,                 0.6595,                0.98998,                0.99937,                0.79412,                0.93529,                 0.6989,                0.99937,                0.79412,                0.90994,                 0.6928,                0.92649,                 1.7893,                0.75532,                 1.1528,              0.0002674,              0.0002674,              0.0002674
                     39,                0.74167,                 1.2402,                0.66314,                 1.0045,                 0.9556,                0.82353,                0.91538,                0.67682,                0.93084,                0.82353,                0.90241,                0.66003,                0.99286,                 1.8329,                0.78772,                  1.214,              0.0002476,              0.0002476,              0.0002476
                     40,                0.69857,                 1.0619,                0.60599,                0.95333,                0.93087,                 0.7921,                0.89564,                 0.6577,                0.92687,                0.82353,                0.89323,                0.64629,                 1.0117,                 1.8469,                0.80032,                 1.2395,              0.0002278,              0.0002278,              0.0002278
                     41,                0.67013,                  1.057,                0.55563,                0.97374,                0.94655,                0.79412,                0.89554,                0.66738,                0.92811,                0.85294,                 0.9263,                 0.6596,                0.93789,                 1.5959,                0.72412,                 1.2169,               0.000208,               0.000208,               0.000208
                     42,                 0.7013,                0.99302,                0.55016,                 1.0182,                0.93279,                0.81661,                0.89467,                0.68127,                0.96636,                0.84502,                0.92545,                0.68015,                 0.9283,                 1.5229,                0.70641,                 1.2088,              0.0001882,              0.0001882,              0.0001882
                     43,                0.65755,                 1.0228,                0.50858,                0.99969,                0.95785,                0.79412,                0.88743,                0.68465,                 0.9331,                0.82353,                 0.9164,                0.66682,                0.91389,                 1.4857,                0.77495,                 1.2005,              0.0001684,              0.0001684,              0.0001684
                     44,                0.65644,                0.96482,                0.50178,                 1.0127,                0.93263,                0.81457,                0.88767,                0.69472,                0.93263,                0.81457,                0.88767,                  0.679,                0.86287,                 1.4387,                0.78062,                 1.1802,              0.0001486,              0.0001486,              0.0001486
                     45,                0.58705,                0.92433,                0.45207,                0.95517,                0.96597,                0.83516,                0.88756,                0.70618,                0.96597,                0.83516,                0.90836,                0.68049,                0.84093,                 1.4263,                0.76553,                 1.1774,              0.0001288,              0.0001288,              0.0001288
                     46,                0.62065,                0.93668,                0.45373,                0.96873,                0.96076,                0.85294,                0.88691,                 0.7067,                0.96076,                0.85294,                0.89219,                  0.677,                0.82977,                 1.4223,                0.74865,                 1.1706,               0.000109,               0.000109,               0.000109
                     47,                0.54909,                0.88655,                0.41631,                0.92474,                0.93068,                0.85294,                0.89583,                0.70814,                0.93068,                0.85294,                0.89923,                0.68682,                0.83502,                 1.4311,                0.71969,                 1.1826,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.60747,                0.93807,                0.44842,                0.97358,                0.96023,                0.85294,                0.89899,                0.71189,                0.96023,                0.85294,                0.89899,                0.68166,                0.84227,                 1.4559,                0.71646,                 1.1904,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.54433,                0.84378,                 0.4252,                0.91897,                0.93707,                0.87607,                0.90279,                0.72598,                0.93707,                0.87607,                0.90279,                0.68461,                0.84508,                 1.4504,                 0.6834,                 1.1921,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.55888,                0.86623,                0.41155,                0.95046,                0.90838,                0.87503,                0.89847,                0.72899,                0.90838,                0.87503,                0.89847,                 0.6812,                0.84866,                 1.4529,                0.67862,                 1.1906,               2.98e-05,               2.98e-05,               2.98e-05
